abandon	n	[[2], [], [], [], []]	['盡情、放縱', '', '']
abandon	v	[[2], [8], [], [4], []]	['拋棄、捨棄、中止', '', 'abandon']
about	bp	[[1], [], [], [1], [1]]	['大約、關於；大約、幾乎、在周圍', '', '']
above	bj	[[1], [], [], [], [1]]	['上文、前文；前文述及的、上述的', '', '']
above	bp	[[1], [], [], [], [1]]	['在…上面、超過、大於', '', '']
absent	j	[[1], [], [], [], [2]]	['缺席的、不在場的、心不在焉的', '', '']
absolute	jn	[[2], [], [], [], []]	['完全的、絕對的；絕對', '', '']
abstract	jn	[[2], [], [], [], []]	['抽象的', '', '']
abstract	n	[[2], [], [], [], []]	['摘要', '', '']
absurd	jn	[[3], [], [], [], []]	['荒謬的；荒誕(的事物)', '', '']
academic	j	[[2], [], [], [4], []]	['學術的、學業的', '', '']
accord	n	[[2], [], [], [], []]	['贈予、授予、(與...)一致', '', '']
accord	v	[[2], [], [], [], []]	['贈予、授予、(與...)一致', '', '']
account	n	[[2], [], [], [], []]	['視為、解釋、(數量或比例上)佔', '', '']
account	v	[[2], [], [], [], []]	['視為、解釋、(數量或比例上)佔', '', '']
ace	j	[[3], [], [], [], []]	['第一流的、極好的', '', '']
ace	n	[[3], [], [], [], []]	['A紙牌、擅長...的人、(網球)發球得分', '', '']
ace	v	[[3], [], [], [], []]	['表現得很好', '', '']
acoustic	j	[[3], [], [], [], []]	['聲音的、聽覺的、(樂器)原聲的', '', '']
acoustic	n	[[3], [], [], [], []]	['(建築物、房間的)傳音效果、音響效果', '', '']
across	bp	[[1], [], [], [1], [1]]	['橫過、在對面', '', '']
across	p	[[1], [], [], [], [1]]	['在...各處、遍及', '', '']
acute	j	[[3], [], [], [5], []]	['嚴重的、(病痛)急性的、靈敏的', '', '']
acute	n	[[3], [], [], [], []]	['銳音符', '', '']
addict	n	[[3], [], [], [], []]	['成癮者、入迷的人', '', '']
additive	j	[[3], [], [], [], []]	['附加的', '', '']
additive	n	[[3], [], [], [], []]	['(尤指食品的)添加物', '', '']
address	n	[[1], [], [], [], [2]]	['地址、網址、位址；演講、演說', '', '']
address	v	[[2], [], [], [], [2]]	['對...講話、發表演說；處理、應對', '', '']
advance	j	[[1], [], [], [], []]	['預先的、事先的', '', '']
advance	n	[[1], [], [], [], []]	['(使)前進、使發展、促進', '', '']
advance	v	[[1], [], [], [], []]	['(使)前進、使發展、促進', '', '']
advisory	j	[[3], [], [], [6], []]	['顧問的、諮詢的', '', '']
advisory	n	[[3], [], [], [], []]	['公告、警報', '', '']
advocate	n	[[3], [], [], [], []]	['提倡者、擁護者', '', '']
aerial	jn	[[3], [], [], [], []]	['從飛機上的、空中的', '', '']
aerial	n	[[3], [], [], [], []]	['天線', 'noun = antenna (American English)', '']
affect	v	[[1], [], [], [2], [2]]	['影響、(疾病)感染', '', '']
affiliate	n	[[3], [], [], [6], []]	['附屬機構、分公司', '', '']
affiliate	v	[[3], [], [], [], []]	['使隸屬於、加入、為...工作', '', '']
after	bcp	[[1], [], [], [1], [1]]	['在...後面；在...以後；以後、後來', '', '']
age	n	[[1], [], [], [], [1]]	['年齡、老化；時代、時期', '', '']
age	v	[[1], [], [], [], [1]]	['衰老、使變老、使成熟', '', '']
aggregate	jnv	[[3], [], [], [], []]	['總計(的)、合計(的)', '', '']
alarm	n	[[1], [], [], [], [2]]	['鬧鐘、鬧鈴裝置；警報、警報器', '', '']
alcoholic	j	[[2], [], [], [], []]	['酒精的、含酒精的', '', '']
alcoholic	n	[[2], [], [], [], []]	['酗酒者、酒精中毒者', '', '']
alert	j	[[2], [], [], [], []]	['警覺的、機警的', '', '']
alert	n	[[2], [], [], [], []]	['警報、戒備', '', '']
alert	v	[[2], [], [], [], []]	['使警覺、使意識到', '', '']
alien	j	[[3], [], [], [], []]	['外國的、異域的、外星人的；陌生的、不熟悉的', '', '']
alien	n	[[3], [], [], [], []]	['外國人、外星人(生物)', '', '']
all	bjr	[[1], [], [], [], [1]]	['全部(的/地)', '', '']
alloy	nv	[[3], [], [], [], []]	['合金；把...鑄成合金', '', '']
alloy	v	[[3], [], [], [], []]	['把(價值)降低、損壞', '', '']
along	b	[[1], [], [], [], [1]]	['向前、一起、來到', '', '']
along	p	[[1], [], [], [], [1]]	['沿著', '', '']
alternate	jv	[[3], [], [], [], []]	['輪流(的)、交替(的)', '', '']
alternative	j	[[2], [], [], [], []]	['可替代的、可供選擇的；非傳統的、另類的', '', '']
alternative	n	[[2], [], [], [], []]	['可供選擇的事物', '', '']
am	v	[[1], [], [], [], [1]]	['(主語為第一人稱單數)是', '', '']
amount	n	[[1], [], [], [], [2]]	['數量', '', '']
annual	jn	[[2], [], [], [], []]	['每年的、一年一次的；年報、年刊', '', '']
answer	nv	[[1], [], [], [1], [1]]	['答案、回答；答覆、作答', '', '']
any	b	[[1], [], [], [], [1]]	['(用於否定或疑問句)稍、根本', '', '']
any	jr	[[1], [], [], [], [1]]	['任何一個、一些；任何的、絲毫的', '', '']
apart	bj	[[2], [], [], [], []]	['(空間或時間的)分隔、相隔；分離的', '', '']
ape	n	[[2], [], [], [2], []]	['人猿', '', '']
ape	v	[[2], [], [], [], []]	['模仿、學...的樣子', '', '']
appeal	n	[[2], [], [], [], []]	['呼籲；提出申訴；對...有吸引力', '', '']
appeal	v	[[2], [], [], [], []]	['呼籲；提出申訴；對...有吸引力', '', '']
apprentice	nv	[[3], [], [], [], []]	['學徒；使當學徒', '', '']
approach	n	[[2], [], [], [], []]	['接近；接洽；著手處理', '', '']
approach	v	[[2], [], [], [], []]	['接近；接洽；著手處理', '', '']
approximate	jv	[[3], [], [], [6], []]	['大約的；接近', '', '']
archive	nv	[[3], [], [], [], []]	['檔案、檔案室；歸檔、存檔', '', '']
arctic	jn	[[3], [], [], [], []]	['北極的、北極地區的；北極、北極地區', '= arctic', '']
arm	n	[[1], [], [24], [], [1]]	['手臂、袖子、扶手', '', '']
arm	v	[[1], [], [], [], [1]]	['武裝、備戰', '', '']
array	n	[[3], [], [], [5], []]	['大量、一批', '', '']
array	v	[[3], [], [], [], []]	['配置、布置、排列', '', '']
as	b	[[1], [], [], [], [1]]	['像...一樣、和...一樣', '', '']
as	c	[[1], [], [], [], [1]]	['因為、當...時、以...的方式', '', '']
as	p	[[1], [], [], [], [1]]	['作為、以...的身分', '', '']
assistant	jn	[[1], [], [], [], [2]]	['助手、助理；(常用於頭銜)助理的、副的', '', '']
associate	j	[[2], [], [], [], []]	['副的、非正式的', '', '']
associate	n	[[2], [], [], [], []]	['同事、合夥人', '', '']
associate	v	[[2], [], [], [], []]	['聯想、聯繫', '', '']
attendant	j	[[3], [], [], [], []]	['伴隨的、隨之而來的', '', '']
attendant	n	[[3], [], [], [6], []]	['服務員、侍者', '', '']
attribute	n	[[3], [], [], [], []]	['屬性、特徵', '', '']
attribute	v	[[3], [], [], [5], []]	['歸因於', '', '']
audit	nv	[[3], [], [], [], []]	['審計、稽核、查帳', '', '']
audit	v	[[3], [], [], [], []]	['旁聽(大學課程)', '', '']
author	n	[[2], [], [], [], []]	['作者', '', '']
auxiliary	jn	[[2], [], [], [], []]	['輔助人員；輔助的', '', '']
auxiliary	n	[[2], [], [], [7], []]	['助動詞', '= aux.', '']
ax	n	[[2], [], [], [], []]	['斧頭；裁減、解雇', '= axe (British English)', '']
ax	v	[[2], [], [], [], []]	['用斧頭劈、砍掉；裁減、撤銷、開除', '= axe (British English)', '']
back	b	[[1], [], [27], [], [1]]	['回原處、返回、向後、在背面', '', '']
back	jn	[[1], [], [], [], [1]]	['背部、後面；背部的、後面的', '', '']
back	v	[[1], [], [], [], [1]]	['贊助、支持；使倒退、後退', '', '']
backward	bj	[[1], [], [], [], [2]]	['向後地、倒退地；向後的、倒退的、落後的', 'adv.= backwards (British English)', '']
ball	n	[[1], [], [32], [], [2]]	['球、球狀物', '', '']
bang	nv	[[2], [], [], [], []]	['重擊、巨響；撞擊、使發出巨響', '', '']
bank	n	[[1], [], [27], [], [1]]	['銀行；堤、岸', '', '']
banquet	n	[[3], [], [], [], []]	['宴會、盛宴', '', '']
bar	n	[[1], [], [], [], []]	['條狀物、條紋、欄杆；酒吧、吧檯', '', '']
bar	nv	[[1], [], [], [2], []]	['障礙；阻擋、禁止', '', '']
