abandon	v	8	abandon
abandonment	n	8	abandon
abnormal	j	2	normal
abnormally	b	2	normal
abstract	jnv	6	abstract
abstraction	n	6	abstract
abstractly	b	6	abstract
academia	n	5	academy
academic	jn	5	academy
academically	b	5	academy
academy	n	5	academy
access	nv	4	access
accessibility	n	4	access
accessible	j	4	access
accommodate	v	9	accommodate
accommodating	j	9	accommodate
accommodation	n	9	accommodate
accompaniment	n	8	accompany
accompany	v	8	accompany
accompanying	j	8	accompany
accumulate	v	8	accumulate
accumulation	n	8	accumulate
accuracy	n	6	accurate
accurate	j	6	accurate
accurately	b	6	accurate
achievable	j	2	achieve
achieve	v	2	achieve
achievement	n	2	achieve
acknowledge	v	6	acknowledge
acknowledgement	n	6	acknowledge
acquire	v	2	acquire
acquisition	n	2	acquire
adapt	v	7	adapt
adaptability	n	7	adapt
adaptable	j	7	adapt
adaptation	n	7	adapt
adaptive	j	7	adapt
adequacy	n	4	adequate
adequate	j	4	adequate
adequately	b	4	adequate
adjacent	j	10	adjacent
adjust	v	5	adjust
adjustment	n	5	adjust
administrate	v	2	administrate
administration	n	2	administrate
administrative	j	2	administrate
administratively	b	2	administrate
administrator	n	2	administrate
adult	jn	7	adult
adulthood	n	7	adult
advocacy	n	7	advocate
advocate	nv	7	advocate
affect	nv	2	affect
affected	j	2	affect
affecting	j	2	affect
affective	j	2	affect
affectively	b	2	affect
aggregate	nv	6	aggregate
aggregation	n	6	aggregate
aid	nv	7	aid
albeit	c	10	albeit
allocate	v	6	allocate
allocation	n	6	allocate
alter	v	5	alter
alterable	j	5	alter
alteration	n	5	alter
alternate	v	5	alter
alternative	jn	3	alternative
alternatively	b	3	alternative
ambiguity	n	8	ambiguous
ambiguous	j	8	ambiguous
amend	v	5	amend
amendment	n	5	amend
analogous	j	9	analogy
analogy	n	9	analogy
analysis	n	1	analyze
analyst	n	1	analyze
analytic	j	1	analyze
analytical	j	1	analyze
analytically	b	1	analyze
analyze	v	1	analyze
analyzer	n	1	analyze
annual	j	4	annual
annually	b	4	annual
anticipate	v	9	anticipate
anticipation	n	9	anticipate
apparent	j	4	apparent
apparently	b	4	apparent
append	v	8	append
appendix	n	8	append
appreciable	j	8	appreciate
appreciably	b	8	appreciate
appreciate	v	8	appreciate
appreciation	n	8	appreciate
approach	nv	1	approach
approachable	j	1	approach
appropriacy	n	2	appropriate
appropriate	j	2	appropriate
appropriately	b	2	appropriate
appropriateness	n	2	appropriate
approximate	jnv	4	approximate
approximately	b	4	approximate
approximation	n	4	approximate
