abandon	n	1	['盡情、放縱', '', '']
abandon	v	1	['拋棄、捨棄、中止', '', '']
above	bj	0	['上文、前文；前文述及的、上述的', '', '']
above	bp	0	['在…上面、超過、大於', '', '']
abstract	jn	1	['抽象的', '', '']
abstract	n	1	['摘要', '', '']
accord	n	1	['協議、條約', '', '']
accord	v	1	['贈予、授予、(與...)一致', '', '']
account	n	1	['帳戶、帳號、敘述', '', '']
account	v	1	['視為、解釋、(數量或比例上)佔', '', '']
ace	j	2	['第一流的、極好的', '', '']
ace	n	2	['A紙牌、擅長...的人、(網球)發球得分', '', '']
ace	v	2	['表現得很好', '', '']
acoustic	j	2	['聲音的、聽覺的、(樂器)原聲的', '', '']
acoustic	n	2	['(建築物、房間的)傳音效果、音響效果', '', '']
across	bp	0	['橫過、在對面', '', '']
across	p	0	['在...各處、遍及', '', '']
act	nv	0	['行為、作為；行事、表現', '', '']
act	nv	0	['表演者、(戲劇的)幕；演出、扮演', '', '']
acute	j	2	['嚴重的、(病痛)急性的、靈敏的', '', '']
acute	n	2	['銳音符', '', '']
additive	j	2	['附加的', '', '']
additive	n	2	['(尤指食品的)添加物', '', '']
address	n	0	['地址、網址、位址；演講、演說', '', '']
address	v	1	['對...講話、發表演說；處理、應對', '', '']
advance	j	0	['預先的、事先的', '', '']
advance	n	0	['前進、發展、進展', '', '']
advance	v	0	['(使)前進、使發展、促進', '', '']
advisory	j	2	['顧問的、諮詢的', '', '']
advisory	n	2	['公告、警報', '', '']
aerial	jn	2	['從飛機上的、空中的', '', '']
aerial	n	2	['天線', 'noun = antenna (American English)', '']
affiliate	n	2	['附屬機構、分公司', '', '']
affiliate	v	2	['使隸屬於、加入、為...工作', '', '']
age	n	0	['年齡、老化；時代、時期', '', '']
age	v	0	['衰老、使變老、使成熟', '', '']
alcoholic	j	1	['酒精的、含酒精的', '', '']
alcoholic	n	1	['酗酒者、酒精中毒者', '', '']
alert	j	1	['警覺的、機警的', '', '']
alert	n	1	['警報、戒備', '', '']
alert	v	1	['使警覺、使意識到', '', '']
alien	j	2	['外國的、異域的、外星人的；陌生的、不熟悉的', '', '']
alien	n	2	['外國人、外星人(生物)', '', '']
alloy	nv	2	['合金；把...鑄成合金', '', '']
alloy	v	2	['把(價值)降低、損壞', '', '']
along	b	0	['向前、一起、來到', '', '']
along	p	0	['沿著', '', '']
alternative	j	1	['可替代的、可供選擇的；非傳統的、另類的', '', '']
alternative	n	1	['可供選擇的事物', '', '']
anchor	nv	2	['主持人；主持(電視、廣播節目)', '', '']
anchor	nv	2	['錨；拋錨、下錨', '', '']
any	b	0	['(用於否定或疑問句)稍、根本', '', '']
any	jr	0	['任何一個、一些；任何的、絲毫的', '', '']
ape	n	1	['人猿', '', '']
ape	v	1	['模仿、學...的樣子', '', '']
appeal	n	1	['呼籲；申訴；吸引力', '', '']
appeal	v	1	['呼籲；提出申訴；對...有吸引力', '', '']
appear	v	0	['出現、顯現', '', '']
appear	v	0	['看來好像、似乎', '=seem', '']
approach	n	1	['方式、方法', '', '']
approach	v	1	['接近；接洽；著手處理', '', '']
arm	n	0	['手臂、袖子、扶手', '', '']
arm	v	0	['武裝、備戰', '', '']
array	n	2	['大量、一批', '', '']
array	v	2	['配置、布置、排列', '', '']
as	b	0	['像...一樣、和...一樣', '', '']
as	c	0	['因為、當...時、以...的方式', '', '']
as	p	0	['作為、以...的身分', '', '']
associate	j	1	['副的、非正式的', '', '']
associate	n	1	['同事、合夥人', '', '']
associate	v	1	['聯想、聯繫', '', '']
attendant	j	2	['伴隨的、隨之而來的', '', '']
attendant	n	2	['服務員、侍者', '', '']
attribute	n	2	['屬性、特徵', '', '']
attribute	v	2	['歸因於', '', '']
audit	nv	2	['審計、稽核、查帳', '', '']
audit	v	2	['旁聽(大學課程)', '', '']
auxiliary	jn	1	['輔助人員；輔助的', '', '']
auxiliary	n	1	['助動詞', '= aux.', '']
ax	n	1	['斧頭；裁減、解雇', '= axe (British English)', '']
ax	v	1	['用斧頭劈、砍掉；裁減、撤銷、開除', '= axe (British English)', '']
back	b	0	['回原處、返回、向後、在背面', '', '']
back	jn	0	['背部、後面；背部的、後面的', '', '']
back	v	0	['贊助、支持；使倒退、後退', '', '']
bar	n	0	['條狀物、條紋、欄杆；酒吧、吧檯', '', '']
bar	nv	0	['障礙；阻擋、禁止', '', '']
bargain	n	1	['特價品；協議、交易', '', '']
bargain	v	1	['特價品、協議；討價還價', '', '']
barge	n	2	['大型平底船', '', '']
barge	v	2	['衝撞、亂闖', '', '']
bark	n	0	['樹皮', '', '']
bark	nv	0	['吠叫、咆哮；狗吠聲', '', '']
base	n	0	['(棒球運動中的)壘', '', '']
base	nv	0	['以...為據點、將總部設在；基地、基底、基礎', '', '']
bastard	jn	2	['私生子；私生的', '', '']
bastard	n	2	['討厭鬼、壞蛋', '', '']
bat	n	0	['蝙蝠', '', '']
bat	nv	0	['球棒、球拍；用球棒或球拍擊球', '', '']
batter	n	2	['(棒球的)打擊手；麵糊', '', '']
batter	v	2	['連續猛擊、毆打', '', '']
beam	n	1	['光線、光束', '', '']
beam	v	1	['照射、發光；高興地微笑、眉開眼笑', '', '']
bear	n	0	['熊', '', '']
bear	v	0	['承擔、忍受、負荷；具有；生孩子、結果實', '', '']
beat	n	0	['跳動聲、擊鼓聲；節拍', '', '']
beat	v	0	['打敗、戰勝；敲打、攪打', '', '']
beggar	n	1	['乞丐', '', '']
beggar	v	1	['使貧窮、使匱乏', '', '']
bent	j	2	['彎曲的、駝背的', '', '']
bent	n	2	['天賦', '', '']
best	bj	0	['最、最適當地；最好的、最適當的', '', '']
best	n	0	['最好的人或事', '', '']
best	v	0	['打敗、戰勝', '', '']
better	bj	0	['更、更好地；更好的、好轉的', '', '']
better	n	0	['更好的事物、更好者', '', '']
better	v	0	['勝過、超過', '', '']
bill	n	0	['議案、法案', '', '']
bill	nv	0	['鈔票、帳單；開立帳單', '', '']
binding	j	2	['必須遵守的，有法律約束力的', '', '']
binding	n	2	['(書籍的)封皮、鑲邊', '', '']
birdie	n	2	['小鳥', '', '']
birdie	nv	2	['(高爾夫球)小鳥擊、比標準桿少一桿入洞', '', '']
bitch	n	2	['母狗；[冒犯]壞女人、潑婦', '', '']
bitch	v	2	['說壞話', '', '']
blast	n	2	['狂風、強勁的氣流', '', '']
blast	nv	2	['(突然發出的)響聲；發出巨大聲響', '', '']
blast	nv	2	['炸毀、爆破；爆炸', '', '']
blaze	nv	2	['熊熊燃燒；大火、烈火、火焰', '', '']
blaze	nv	2	['閃耀、發亮光；燦爛', '', '']
block	n	0	['街區；大樓；大塊；堵塞物、障礙物', '', '']
block	v	0	['堵塞；阻擋；擋住；妨礙', '', '']
blot	nv	2	['墨水漬、汙點；把墨水濺到、弄髒', '', '']
blot	v	2	['(用軟紙或布)吸乾液體', '', '']
blow	n	0	['吹；吹奏(樂器)；擤(鼻子)；重擊；打擊', '', '']
blow	v	0	['吹；吹奏；擤鼻子；炸毀；爆裂', '', '']
blue	j	0	['悲傷的、憂鬱的', '', '']
blue	jn	0	['藍色的；藍色', '', '']
blunt	j	2	['(鉛筆、刀等)鈍的、不鋒利的；直率的、直截了當的', '', '']
blunt	v	2	['使變鈍、減弱', '', '']
board	n	0	['木板、牌子、佈告欄、黑板或白板、棋盤', '', '']
board	n	0	['董事會、理事會', '', '']
board	nv	0	['上(交通工具)；在船上(或其他交通工具)', '', '']
board	nv	0	['寄宿、住校；(住宿處提供的)伙食、膳食', '', '']
bob	nv	2	['(在水中)快速上下擺動、快速移動；快速點頭或鞠躬', '', '']
bob	nv	2	['(水中)快速擺動；(女)齊短髮、快速點頭', '', '']
bodily	b	2	['移動全身地；親身地；全體地、整體地', '', '']
bodily	j	2	['人體的、身體的', '', '']
bolster	n	2	['長靠枕', '', '']
bolster	v	2	['加強、支撐、改善', '', '']
bolt	n	2	['(門窗的)閂、螺栓；閃電、霹靂', '', '']
bolt	v	2	['閂上、用螺栓固定；(因受到驚嚇而)快跑、奔跑', '', '']
book	n	0	['書、簿冊', '', '']
book	v	0	['預訂、預約', '', '']
boom	nv	2	['繁榮、增長、迅速發展', '', '']
boom	nv	2	['隆隆聲；發出隆隆聲、轟鳴', '', '']
boot	n	1	['靴子；猛踢、猛踹', '', '']
boot	v	1	['猛踹、猛踢；(使電腦)啟動', '', '']
bottom	jnv	0	['底部、屁股；最底下的、最後的；到達底部、降到最低點', '', '']
bottom	n	0	['套裝的裙或褲', '', '']
bound	j	2	['肯定的、必然的；(法律或道德上)有義務的、受約束的；正在前往...的、開往...的', '', '']
bound	nv	2	['跳躍、跳動', '', '']
bow	n	1	['弓；(弦樂器的)琴弓；蝴蝶結', '船首 (P)', '']
bow	nv	0	['鞠躬、點頭致意', '', '']
brace	n	2	['托架、支架；牙箍', '', '']
brace	v	2	['支撐、加固；做準備、防備', '', '']
branch	n	0	['樹枝；支流、岔路；分支機構', '', '']
branch	v	0	['發出新枝；分岔、岔開', '', '']
brand	n	1	['品牌、商標；烙印', '', '']
brand	v	1	['打烙印於；譴責、加汙名於', '', '']
brass	jn	1	['銅管樂器；銅管樂器的', '', '']
brass	jn	1	['黃銅、黃銅製品；黃銅的、黃銅製的', '', '']
breach	n	2	['(法規等的)違反、違背；(關係)中斷、終止；缺口', '', '']
breach	v	2	['違反、違背；在...打開缺口', '', '']
break	n	0	['休息時間、課間休息、假期', '', '']
break	nv	0	['中止、中斷', '', '']
break	nv	0	['打破、弄壞；毀壞、打破、裂縫', '', '']
break	v	0	['違反、違背', '', '']
breed	n	1	['品種；交配繁殖、飼養', '', '']
breed	v	1	['品種；交配繁殖、飼養', '', '']
brew	n	2	['啤酒；混合物', '', '']
brew	v	2	['釀製(啤酒)、泡茶或咖啡；(壞事的)即將來臨、醞釀', '', '']
brief	j	0	['簡短的、短暫的', '', '']
brief	nv	0	['概要、簡報；簡報、向...介紹情況', '', '']
broil	v	2	['炙烤、被曝曬', '', '']
broil	v	2	['炙烤、被曝曬', '= grill', '']
brood	n	2	['一窩雛鳥、一窩動物', '', '']
brood	v	2	['擔憂、焦慮；孵蛋', '', '']
buck	n	2	['美元；雄鹿、公兔', '', '']
buck	v	2	['(馬)弓背跳躍、尥起後蹄跳躍；反抗、抵制', '', '']
bug	n	0	['小蟲子；病菌；(電腦程式的)漏洞；竊聽器', '', '']
bug	v	0	['煩擾、使惱怒；裝竊聽器', '', '']
build-up	n	2	['(重要事情的)準備過程、準備期', '= buildup, build up', '']
build-up	n	2	['增長、增大', '= buildup, build up', '']
bulge	n	2	['鼓起、凸起；暫時的激增、突然上漲', '', '']
