a	a	[[0], [], [4], [1], [1]]	['一(個)', '後接母音開頭之字時為 an', '']
a.m.	b	[[0], [], [], [1], [1]]	['上午', '= a.m.= AM', '']
abandon	n	[[1], [], [], [], []]	['盡情、放縱', '', '']
abandon	v	[[1], [8], [], [4], []]	['拋棄、捨棄、中止', '', 'abandon']
abandonment	n	[[], [8], [], [], []]	['', '', 'abandon']
abbey	n	[[2], [], [], [], []]	['大修道院', '', '']
abbreviate	v	[[2], [], [], [6], []]	['縮寫、使簡短', '', '']
abbreviation	n	[[2], [], [], [], []]	['縮寫、簡稱', '', '']
abdomen	n	[[2], [], [], [], []]	['腹部', '', '']
abide	v	[[2], [], [], [6], []]	['容忍、遵守', '', '']
ability	n	[[0], [], [], [1], []]	['能力、才能', '', '']
able	j	[[0], [], [], [1], [1]]	['能夠的、有才能的', '', '']
abnormal	j	[[1], [2], [], [5], []]	['不正常的', '', 'normal']
abnormally	b	[[], [2], [], [], []]	['', '', 'normal']
aboard	bp	[[1], [], [], [3], []]	['在(交通工具)上', '', '']
abolish	v	[[2], [], [], [5], []]	['廢除', '', '']
aboriginal	jn	[[2], [], [], [6], []]	['土著的；土著', '', '']
aborigine	n	[[2], [], [], [], []]	['原住民', '', '']
abortion	n	[[2], [], [], [5], []]	['流產、墮胎', '', '']
abound	v	[[2], [], [], [6], []]	['大量存在、富足', '', '']
about	bp	[[0], [], [], [1], [1]]	['大約、關於；大約、幾乎、在周圍', '', '']
about	p	[[], [], [28], [], []]	['大約；關於', '', '']
above	bj	[[0], [], [], [], [1]]	['上文、前文；前文述及的、上述的', '', '']
above	bjp	[[], [], [], [1], []]	['', '', '']
above	bp	[[0], [], [], [], [1]]	['在…上面、超過、大於', '', '']
abroad	b	[[0], [], [], [1], [1]]	['在國外、到國外', '', '']
abrupt	j	[[2], [], [], [5], []]	['突然的、唐突的', '', '']
absence	n	[[1], [], [], [2], []]	['缺席、不在場', '', '']
absent	j	[[0], [], [], [], [2]]	['缺席的、不在場的、心不在焉的', '', '']
absent	jv	[[], [], [], [2], []]	['', '', '']
absent-minded	j	[[2], [], [], [], []]	['心不在焉的', '', '']
absolute	j	[[], [], [], [4], []]	['', '', '']
absolute	jn	[[1], [], [], [], []]	['完全的、絕對的；絕對', '', '']
absorb	v	[[1], [], [], [4], []]	['吸收、併入', '', '']
abstract	j	[[], [], [], [4], []]	['', '', '']
abstract	jn	[[1], [], [], [], []]	['抽象的', '', '']
abstract	jnv	[[], [6], [], [], []]	['', '', 'abstract']
abstract	n	[[1], [], [], [], []]	['摘要', '', '']
abstraction	n	[[2], [6], [], [6], []]	['抽象(概念)、抽取、提取', '', 'abstract']
abstractly	b	[[], [6], [], [], []]	['', '', 'abstract']
absurd	j	[[], [], [], [5], []]	['', '', '']
absurd	jn	[[2], [], [], [], []]	['荒謬的；荒誕(的事物)', '', '']
abundance	n	[[2], [], [], [6], []]	['大量、充裕', '', '']
abundant	j	[[2], [], [], [5], []]	['大量的', '', '']
abuse	nv	[[1], [], [], [5], []]	['濫用、虐待', '', '']
academia	n	[[], [5], [], [], []]	['', '', 'academy']
academic	j	[[1], [], [], [4], []]	['學術的、學業的', '', '']
academic	jn	[[], [5], [], [], []]	['', '', 'academy']
academically	b	[[], [5], [], [], []]	['', '', 'academy']
academy	n	[[1], [5], [], [6], []]	['學院、學會', '', 'academy']
accelerate	v	[[2], [], [], [5], []]	['加速', '', '']
acceleration	n	[[2], [], [], [], []]	['加速', '', '']
accent	n	[[1], [], [], [4], []]	['口音、腔調', '', '']
accept	v	[[0], [], [], [2], [2]]	['收受、接受(提議、邀請)、同意、接納', '', '']
acceptable	j	[[1], [], [], [3], []]	['可接受的、認可的', '', '']
acceptance	n	[[1], [], [], [4], []]	['接受、認可', '', '']
accepted	j	[[1], [], [], [], []]	['公認的', '', '']
access	nv	[[1], [4], [], [4], []]	['通道、進入(的權利)；存取、到達、進入', '', 'access']
accessibility	n	[[], [4], [], [], []]	['', '', 'access']
accessible	j	[[2], [4], [], [5], []]	['可到達的、可使用的、易理解的', '', 'access']
accessory	jn	[[2], [], [], [6], []]	['附件、配件；副的、輔助的', '', '']
accident	n	[[0], [], [], [2], [2]]	['意外事故', '', '']
accidental	j	[[1], [], [], [4], []]	['意外的、偶然的', '', '']
acclaim	nv	[[2], [], [], [6], []]	['稱譽、(給予)高度評價', '', '']
