a	a	1
a.m.	b	1
abandon	v	4
abbreviate	v	6
abide	v	6
ability	n	1
able	j	1
abnormal	j	5
aboard	bp	3
abolish	v	5
aboriginal	jn	6
abortion	n	5
abound	v	6
about	bp	1
above	bjp	1
abroad	b	1
abrupt	j	5
absence	n	2
absent	jv	2
absolute	j	4
absorb	v	4
abstract	j	4
abstraction	n	6
absurd	j	5
abundance	n	6
abundant	j	5
abuse	nv	5
academic	j	4
academy	n	6
accelerate	v	5
accent	n	4
accept	v	2
acceptable	j	3
acceptance	n	4
access	nv	4
accessible	j	5
accessory	jn	6
accident	n	2
accidental	j	4
acclaim	nv	6
accommodate	v	5
accommodation	n	5
accompany	v	4
accomplish	v	4
accomplishment	n	4
accord	nv	5
accordance	n	6
accordingly	b	6
account	nv	2
accountable	j	6
accountant	n	4
accounting	n	5
accumulate	v	6
accumulation	n	6
accuracy	n	4
accurate	j	3
accusation	n	6
accuse	v	4
accustom	v	6
ache	nv	3
achieve	v	3
achievement	n	3
acid	jn	4
acknowledge	v	5
acknowledgement	n	5
acne	n	6
acquaint	v	5
acquaintance	n	4
acquire	v	4
acquisition	n	5
acre	n	6
across	bp	1
act	nv	1
action	n	1
active	j	2
activist	n	5
activity	n	2
actor	n	1
actress	n	1
actual	j	2
acute	j	5
ad	n	3
adapt	v	4
adaptation	n	6
add	v	1
addict	nv	4
addiction	n	6
addition	n	2
additional	j	3
address	nv	2
adequate	j	4
adjective	n	7
adjust	v	4
adjustment	n	4
administer	v	6
administrate	v	6
administration	n	5
administrative	j	5
administrator	n	5
admirable	j	4
admiral	n	6
admiration	n	4
admire	v	3
admission	n	4
admit	v	2
adolescence	n	6
adolescent	jn	5
adopt	v	4
adore	v	5
adult	jn	2
advance	nv	2
advanced	j	3
advantage	n	3
adventure	n	3
adverb 	n	7
adverse	j	5
advertise	v	3
advertisement	n	3
advice	n	2
advise	v	3
adviser	n	3
advisor	n	3
advisory	j	6
advocate	nv	5
aesthetic	j	6
affair	n	2
affect	v	2
affection	n	5
affectionate	j	6
affiliate	n	6
affirm	v	6
afford	v	3
afraid	j	1
africa	n	7
africa	n	7
after	bcp	1
afternoon	n	1
afterward	b	3
afterwards	b	3
again	b	1
against	p	2
age	nv	1
agency	n	4
agenda	n	5
agent	n	4
aggression	n	5
aggressive	j	4
ago	b	1
agony	n	5
agree	v	1
agreeable	j	4
agreement	n	1
agricultural	j	5
agriculture	n	3
ahead	b	2
aid	nv	2
aim	nv	2
air	n	1
aircraft	n	2
airline	n	3
airplane	n	1
airport	n	1
airtight	j	6
airway	n	6
aisle	n	5
alarm	nv	2
album	n	2
alcohol	n	4
alcoholic	jn	5
alert	jnv	4
algebra	n	6
alien	jn	5
alienate	v	6
align	v	6
alike	bj	2
alive	j	2
all	bjnr	1
allege	v	6
allergic	j	5
allergy	n	5
alley	n	3
alliance	n	5
alligator	n	6
allocate	v	5
allow	v	1
allowance	n	4
ally	nv	5
almond	n	3
almost	b	1
alone	bj	2
along	bp	1
alongside	bp	5
aloud	b	2
alphabet	n	3
already	b	1
also	b	1
alter	v	5
alternate	jnv	5
alternative	jn	4
although	c	1
altitude	n	6
altogether	b	2
aluminum	n	6
always	b	1
am	b	1
amateur	jn	4
amaze	v	3
amazement	n	3
ambassador	n	3
ambiguity	n	6
ambiguous	j	4
ambition	n	3
ambitious	j	4
ambulance	n	3
amend	v	5
america 	n	7
amid	p	6
amidst	p	6
among	p	2
amount	nv	2
ample	j	5
amplify	v	6
amuse	v	4
amusement	n	4
an	a	1
analogy	n	6
analysis	n	4
analyst	n	5
analytical	j	6
analyze	v	4
ancestor	n	4
anchor	nv	6
ancient	j	2
and	c	1
angel	n	3
anger	n	2
angle	n	2
angry	j	1
animal	n	1
animate	jv	6
ankle	n	2
anniversary	n	4
announce	v	3
announcement	n	3
annoy	v	4
annoyance	n	6
annual	j	4
anonymous	j	5
another	jr	1
answer	nv	1
ant	n	1
antarctica	n	7
anthem	n	6
antibiotic	jn	6
anticipate	v	5
anticipation	n	6
antique	jn	5
antonym	n	6
anxiety	n	4
anxious	j	3
any	bjr	1
anybody	r	1
anyhow	b	3
anyone	r	1
anyplace	b	2
anything	r	1
anytime	b	2
anyway	b	2
anywhere	b	2
apart	b	3
apartment	n	1
ape	n	2
apologize	v	3
apology	n	4
apparent	j	4
appeal	nv	3
appear	v	1
appearance	n	2
appetite	n	2
applaud	v	6
applause	n	5
apple	n	1
appliance	n	5
applicable	j	6
applicant	n	4
application	n	4
apply	v	2
appoint	v	4
appointment	n	4
appreciate	v	2
appreciation	n	4
apprentice	n	6
approach	nv	2
appropriate	j	4
approval	n	4
approve	v	3
approximate	jv	6
apr	n	7
april	n	7
apron	n	3
apt	j	5
aquarium	n	4
arch	nv	4
archaeology	n	6
architect	n	5
architecture	n	5
archive	n	6
arctic 	n	7
area	n	1
arena	n	5
argentina 	n	7
argue	v	2
argument	n	2
arise	v	4
arithmetic	jn	6
arm	nv	1
armed	j	3
arms	n	4
army	n	2
around	bp	1
arouse	v	5
arrange	v	2
arrangement	n	2
array	n	5
arrest	nv	3
arrival	n	2
arrive	v	1
arrogant	j	5
arrow	n	2
art	n	1
article	n	2
article	n	7
articulate	jv	5
artificial	j	4
artist	n	2
artistic	j	4
as	bcp	1
ascend	v	6
ash	n	3
ashamed	j	4
asia	n	7
aside	b	3
ask	v	1
asleep	j	2
aspect	n	4
aspire	v	6
aspirin	n	4
ass	n	5
assassinate	v	6
assault	nv	5
assemble	v	4
assembly	n	4
assert	v	5
assess	v	5
assessment	n	5
asset	n	5
assign	v	4
assignment	n	4
assist	v	3
assistance	n	4
assistant	n	3
associate	jnv	4
association	n	4
assume	v	3
assumption	n	5
assurance	n	4
assure	v	4
asthma	n	6
astonish	v	5
astonishment	n	5
astray	bj	6
astronaut	n	6
astronomer	n	6
astronomy	n	6
at	p	1
athlete	n	3
athletic	j	4
athletics	n	5
atlantic 	n	7
atmosphere	n	4
atom	n	4
atomic	j	4
attach	v	4
attachment	n	4
attack	nv	1
attain	v	6
attainment	n	6
attempt	nv	2
attend	v	2
attendance	n	5
attendant	n	6
attention	n	2
attic	n	5
attitude	n	3
attorney	n	5
attract	v	3
attraction	n	4
attractive	j	3
attribute	v	5
auction	nv	5
audience	n	3
audio	j	4
audit	n	6
auditorium	n	6
aug 	n	7
august 	n	7
aunt	n	1
australia 	n	7
australia 	n	7
authentic	j	4
author	nv	2
authority	n	4
authorize	v	5
auto	n	3
autobiography	n	4
autograph	nv	4
automatic	j	3
automobile	n	3
autonomy	n	5
autumn 	n	7
auxiliary	n	7
available	j	2
avenue	n	3
average	jnv	2
avert	v	6
aviation	n	6
avoid	v	2
await	v	4
awake	jv	3
awaken	v	3
award	nv	3
aware	j	3
away	b	1
awe	nv	5
awesome	j	6
awful	j	3
awhile	b	6
awkward	j	3
baby	n	1
bachelor	n	6
back	bjnv	1
backbone	n	6
background	n	3
backpack	nv	2
backward	b	2
backward	j	2
backwards	b	2
backyard	n	5
bacon	n	3
bacteria	n	3
bad	j	1
badge	n	6
badly	b	3
badminton	n	2
bag	n	1
baggage	n	3
bait	nv	3
bake	v	2
bakery	n	2
balance	nv	2
balcony	n	2
bald	j	4
ball	nv	1
ballet	n	4
balloon	n	2
ballot	nv	5
bamboo	n	3
ban	nv	5
banana	n	1
band	n	1
bandage	nv	4
bang	bnv	3
bank	nv	1
banker	n	3
bankrupt	jnv	4
banner	n	5
banquet	nv	6
bar	nv	2
barbarian	jn	6
barbecue	nv	2
barber	n	2
bare	jv	3
barely	b	3
bargain	nv	4
bark	nv	2
barn	n	3
barrel	n	3
barren	j	5
barrier	n	4
base	nv	2
baseball	n	1
basement	n	3
basic	j	2
basics	n	2
basin	n	4
basis	n	2
basket	n	1
basketball	n	1
bass	jn	6
bat	nv	1
batch	n	5
bath	n	1
bathe	v	2
bathroom	n	1
batter	nv	6
battery	n	4
battle	nv	2
bay	n	3
be	vx	1
beach	nv	1
bead	n	3
beam	nv	3
bean	n	1
bear	nv	1
beard	n	2
beast	n	3
beat	nv	2
beautiful	j	1
beautify	v	6
beauty	n	2
because	c	1
become	v	1
bed	n	1
bedroom	n	1
bee	n	1
beef	n	1
beep	nv	6
beer	n	2
beetle	n	3
before	bcp	1
beforehand	b	6
beg	v	2
beggar	n	4
begin	v	1
beginner	n	2
behalf	n	5
behave	v	2
behavior	n	4
behind	bp	1
being	n	2
belief	n	2
believe	v	1
bell	n	1
belong	v	1
belongings	n	5
beloved	jn	5
below	bp	1
belt	nv	1
bench	n	1
bend	nv	2
beneath	p	3
beneficial	j	5
benefit	nv	3
berry	n	3
beside	p	1
besides	bp	3
best	bjnv	1
bet	nv	3
betray	v	5
better	bjnv	2
between	bp	1
beverage	n	6
beware	v	5
beyond	bp	2
bias	nv	5
bicycle	n	1
bid	nv	5
big	j	1
bike	n	1
bilateral	j	6
bill	nv	2
billion	n	2
billion 	mn	7
billionth 	bjn	7
bin	n	4
bind	v	3
biography	n	4
biological	j	5
biology	n	4
bird	n	1
birth	n	2
biscuit	n	2
bit	n	2
bite	nv	1
bitter	j	3
bizarre	j	5
black	jn	1
blackboard	n	2
blade	n	4
blame	nv	2
blank	jn	2
blanket	nv	2
blast	nv	5
blaze	nv	6
bleach	nv	6
bleed	v	3
blend	nv	4
bless	v	3
blessing	n	4
blind	jv	1
blink	nv	4
block	nv	1
blond	jn	6
blonde	jn	6
blood	n	2
bloody	j	3
bloom	nv	4
blossom	nv	4
blot	nv	6
blouse	n	3
blow	v	1
blue	jn	1
blunt	jv	6
blur	nv	5
blush	nv	5
board	nv	2
boast	nv	4
boat	n	1
bodily	bj	6
body	n	1
bodyguard	n	5
boil	nv	2
bold	j	3
bolt	nv	5
bomb	nv	3
bond	nv	4
bone	n	2
bonus	n	5
book	nv	1
bookcase	n	3
booklet	n	6
bookstore	n	2
boom	nv	5
boost	nv	5
boot	nv	3
booth	n	5
border	nv	2
bore	nv	3
bored	j	1
boredom	n	5
boring	j	1
born	j	1
borrow	v	1
bosom	n	6
boss	nv	1
both	bjr	1
bother	nv	2
bottle	nv	1
bottom	jnv	1
boulevard	n	6
bounce	nv	4
bound	nv	5
boundary	n	5
bow	nv	1
bowl	n	1
bowling	n	3
box	nv	1
boxer	n	5
boxing	n	6
boy	n	1
boycott	nv	6
bra	n	6
brace	nv	6
bracelet	n	4
brain	n	2
brake	nv	3
branch	nv	2
brand	n	2
brass	jn	3
brassiere	n	6
brave	j	1
bravery	n	3
brazil	n	7
bread	n	1
breadth	n	6
break	nv	1
breakdown	n	6
breakfast	nv	1
breakthrough	n	5
breakup	n	6
breast	n	3
breath	n	3
breathe	v	3
breed	nv	4
breeze	nv	3
bribe	nv	6
brick	n	3
bride	n	3
bridegroom	n	4
bridge	nv	1
brief	jnv	2
briefcase	n	5
bright	bj	1
brilliant	j	2
bring	v	1
brink	n	6
broad	j	2
broadcast	nv	3
broaden	v	6
brochure	n	6
broil	v	6
broke	j	4
bronze	jn	5
brook	n	6
broom	n	4
broth	n	6
brother	n	1
brotherhood	n	6
brow	n	2
brown	jnv	1
browse	nv	5
bruise	nv	5
brunch	n	3
brush	nv	2
