字彙	詞類	中文	註解	級數	學術字彙
a	art.	一(個)	後接母音開頭之字時為 an	Elementary	
A.M.	adv.	上午	= a.m.= AM	Elementary	
abandon	verb	拋棄、捨棄、中止		Intermediate	L8
abandon	noun	盡情、放縱		Intermediate	L8
abbey	noun	大修道院		High-Intermediate	
abbreviate	verb	縮寫、使簡短		High-Intermediate	
abbreviation	noun	縮寫、簡稱		High-Intermediate	
abdomen	noun	腹部		High-Intermediate	
abide	verb	容忍、遵守		High-Intermediate	
ability	noun	能力、才能		Elementary	
able	adj.	能夠的、有才能的		Elementary	
abnormal	adj.	不正常的		Intermediate	L2
aboard	prep./adv.	在(交通工具)上		Intermediate	
abolish	verb	廢除		High-Intermediate	
aboriginal	adj./noun	土著的；土著		High-Intermediate	
aborigine	noun	原住民		High-Intermediate	
abortion	noun	流產、墮胎		High-Intermediate	
abound	verb	大量存在、富足		High-Intermediate	
about	prep./adv.	大約、關於；大約、幾乎、在周圍		Elementary	
above	prep./adv.	在…上面、超過、大於		Elementary	
above	adv./adj.	上文、前文；前文述及的、上述的		Elementary	
abroad	adv.	在國外、到國外		Elementary	
abrupt	adj.	突然的、唐突的		High-Intermediate	
absence	noun	缺席、不在場		Intermediate	
absent	adj.	缺席的、不在場的、心不在焉的		Elementary	
absent-minded	adj.	心不在焉的		High-Intermediate	
absolute	adj./noun	完全的、絕對的；絕對		Intermediate	
absorb	verb	吸收、併入		Intermediate	
abstract	adj./noun	抽象的		Intermediate	L6
abstract	noun	摘要		Intermediate	L6
abstraction	noun	抽象(概念)、抽取、提取		High-Intermediate	L6
absurd	adj./noun	荒謬的；荒誕(的事物)		High-Intermediate	
abundance	noun	大量、充裕		High-Intermediate	
abundant	adj.	大量的		High-Intermediate	
abuse	noun/verb	濫用、虐待		Intermediate	
academic	adj.	學術的、學業的		Intermediate	
academy	noun	學院、學會		Intermediate	L5
accelerate	verb	加速		High-Intermediate	
acceleration	noun	加速		High-Intermediate	
accent	noun	口音、腔調		Intermediate	
accept	verb	收受、接受(提議、邀請)、同意、接納		Elementary	
acceptable	adj.	可接受的、認可的		Intermediate	
acceptance	noun	接受、認可		Intermediate	
accepted	adj.	公認的		Intermediate	
access	noun/verb	通道、進入(的權利)；存取、到達、進入		Intermediate	L4
accessible	adj.	可到達的、可使用的、易理解的		High-Intermediate	
accessory	noun/adj.	附件、配件；副的、輔助的		High-Intermediate	
accident	noun	意外事故		Elementary	
accidental	adj.	意外的、偶然的		Intermediate	
acclaim	verb/noun	稱譽、(給予)高度評價		High-Intermediate	
accommodate	verb	容納		Intermediate	L9
accommodation	noun	住宿、停留處		Intermediate	
accompany	verb	陪同、伴隨		Intermediate	L8
accomplish	verb	完成		Intermediate	
accomplished	adj.	技藝高超的、有才華的		High-Intermediate	
accord	verb	贈予、授予、(與...)一致		Intermediate	
accord	noun	協議、條約		Intermediate	
accordance	noun	依照、依據		High-Intermediate	
accordingly	adv.	相應地、因此		High-Intermediate	
account	noun	帳戶、帳號、敘述		Intermediate	
account	verb	視為、解釋、(數量或比例上)佔		Intermediate	
accountable	adj.	應負責任的		High-Intermediate	
accountant	noun	會計師		Intermediate	
accounting	noun	會計		High-Intermediate	
accumulate	verb	累積、逐漸增加		High-Intermediate	L8
accumulation	noun	累積		High-Intermediate	
accuracy	noun	準確(度)		Intermediate	L6
accurate	adj.	正確的、精準的		Intermediate	L6
accusation	noun	控告、指控		High-Intermediate	
accuse	verb	指控		Intermediate	
accustom	verb	使習慣於		High-Intermediate	
accustomed	adj.	習慣於		High-Intermediate	
ace	noun	A紙牌、擅長...的人、(網球)發球得分		High-Intermediate	
ace	adj.	第一流的、極好的		High-Intermediate	
ace	verb	表現得很好		High-Intermediate	
ache	noun/verb	疼痛		Intermediate	
achieve	verb	達到、完成、實現		Elementary	L2
achievement	noun	成就、成績		Intermediate	
acid	noun/adj.	酸；酸(性)的		Intermediate	
acknowledge	verb	承認、告知、致意、感謝		High-Intermediate	L6
acne	noun	痤瘡、粉刺		High-Intermediate	
acoustic	adj.	聲音的、聽覺的、(樂器)原聲的		High-Intermediate	
acoustic	noun	(建築物、房間的)傳音效果、音響效果		High-Intermediate	
acquaint	verb	使熟悉、使了解		Intermediate	
acquaintance	noun	認識的人、交情、(對事物的)了解		Intermediate	
acquire	verb	獲得、購得		Intermediate	L2
acquisition	noun	獲得、獲得物		High-Intermediate	
acre	noun	英畝		Intermediate	
across	prep./adv.	橫過、在對面		Elementary	
across	prep.	在...各處、遍及		Elementary	
act	noun/verb	表演者、(戲劇的)幕；演出、扮演		Elementary	
act	noun/verb	行為、作為；行事、表現		Elementary	
acting	adj.	臨時代理的		High-Intermediate	
action	noun	行動、行為、動作		Elementary	
activate	verb	使活動、活化		High-Intermediate	
active	adj.	活躍的、積極的		Elementary	
activist	noun	活躍份子		High-Intermediate	
activity	noun	活動		Elementary	
actor	noun	演員		Elementary	
actress	noun	女演員		Elementary	
actual	adj.	實際的、真正的		Intermediate	
actually	adv.	實際上、事實上		Elementary	
acute	adj.	嚴重的、(病痛)急性的、靈敏的		High-Intermediate	
acute	noun	銳音符		High-Intermediate	
adapt	verb	(使)適應、改編		Intermediate	L7
adaptation	noun	改編、適應		High-Intermediate	
add	verb	加上、增加、補充說		Elementary	
addict	noun	成癮者、入迷的人		High-Intermediate	
addicted	adj.	上癮的、入迷的		High-Intermediate	
addiction	noun	上癮、入迷		High-Intermediate	
addition	noun	加法、添加、增加的人或物		Elementary	
additional	adj.	額外的、附加的		Intermediate	
additive	noun	(尤指食品的)添加物		High-Intermediate	
additive	adj.	附加的		High-Intermediate	
address	noun	地址、網址、位址；演講、演說		Elementary	
address	verb	對...講話、發表演說；處理、應對		Intermediate	
adequate	adj.	足夠的、合格的		Intermediate	L4
adhere	verb	附著、遵循		High-Intermediate	
adjacent	adj.	毗連的、鄰近的		High-Intermediate	L10
adjective	noun	形容詞	= adj.	Intermediate	
adjoin	verb	毗連、鄰接		High-Intermediate	
adjust	verb	調整；適應；整理(衣著)		Intermediate	L5
adjustment	noun	調整、適應		High-Intermediate	
administer	verb	管理、執行；給予、施行		High-Intermediate	
administration	noun	管理(部門)、行政(部門)；施行、施用		Intermediate	
administrative	adj.	管理的、行政的		High-Intermediate	
administrator	noun	管理人員、行政人員		High-Intermediate	
admirable	adj.	可欽佩的、值得讚賞的		Intermediate	
admiral	noun	海軍上將、艦隊司令		High-Intermediate	
admiration	noun	欽佩、仰慕、讚賞		Intermediate	
admire	verb	欽佩、欣賞		Elementary	
admission	noun	承認、招認；入場費；允許進入		Intermediate	
admit	verb	承認；准許進入		Elementary	
adolescence	noun	青春期		High-Intermediate	
adolescent	adj./noun	青春期的；青少年		High-Intermediate	
adopt	verb	領養、接受、採納		Elementary	
adore	verb	熱愛、愛慕		High-Intermediate	
adult	noun/adj.	成年人；成年的、成熟的、僅限成人的		Elementary	L7
adulthood	noun	成年		High-Intermediate	L7
advance	verb	(使)前進、使發展、促進		Elementary	
advance	noun	前進、發展、進展		Elementary	
advance	adj.	預先的、事先的		Elementary	
advanced	adj.	先進的、高級的、(發展)後期的		Intermediate	
advancement	noun	發展、促進、晉升		High-Intermediate	
advantage	noun	優點、優勢、好處		Elementary	
advent	noun	出現、到來		High-Intermediate	
adventure	noun	冒險、冒險經歷、奇遇		Elementary	
adverb	noun	副詞	=adv.	High-Intermediate	
adverse	adj.	不利的、負面的、有害的		High-Intermediate	
advert	noun	廣告	= ad, advertisement	High-Intermediate	
advertise	verb	登廣告、徵聘、宣傳	= advertize	Intermediate	
advertisement	noun	廣告	= ad	Elementary	
advertiser	noun	廣告商、登廣告者		High-Intermediate	
advertising	noun	廣告業、廣告活動		High-Intermediate	
advice	noun	建議、忠告		Elementary	
advisable	adj.	明智的、可取的		High-Intermediate	
advise	verb	建議、忠告、正式告知		Elementary	
adviser	noun	顧問、忠告者	= advisor	Intermediate	
advisory	adj.	顧問的、諮詢的		High-Intermediate	
advisory	noun	公告、警報		High-Intermediate	
advocate	noun	提倡者、擁護者		High-Intermediate	L7
aerial	adj./noun	從飛機上的、空中的		High-Intermediate	
aerial	noun	天線	noun = antenna (American English)	High-Intermediate	
aerospace	noun/adj.	航空航天業(的)、航空航天技術(的)		High-Intermediate	
aesthetic	adj.	美感的、審美的	=aesthetical, esthetic, esthetical	High-Intermediate	
aesthetics	noun	美學、美感	= esthetics	High-Intermediate	
affair	noun	事務、事件		Elementary	
affect	verb	影響、(疾病)感染		Elementary	L2
affection	noun	喜愛、鍾愛		Intermediate	
affectionate	adj.	表示關愛的、充滿深情的		High-Intermediate	
affiliate	noun	附屬機構、分公司		High-Intermediate	
affiliate	verb	使隸屬於、加入、為...工作		High-Intermediate	
affirm	verb	申明、斷言		High-Intermediate	
afflict	verb	折磨、使痛苦		High-Intermediate	
afford	verb	買得起、承擔、提供		Intermediate	
afraid	adj.	害怕的、擔憂的		Elementary	
after	prep./conj./adv.	在...後面；在...以後；以後、後來		Elementary	
aftermath	noun	後果、餘波		High-Intermediate	
afternoon	noun	下午		Elementary	
afterward	adv.	後來	=afterwards (British English)	Intermediate	
again	adv.	又、再一次		Elementary	
against	prep.	緊貼著、倚靠著；逆著...的方向、迎著；反對、與...相反；以...為背景、襯托；防...、抗...		Elementary	
age	noun	年齡、老化；時代、時期		Elementary	
age	verb	衰老、使變老、使成熟		Elementary	
aged	adj.	…歲的、年邁的		Intermediate	
agency	noun	代理機構、政府專門機構		Intermediate	
agenda	noun	議程、待處理事項		High-Intermediate	
agent	noun	代理商、代理人、經紀人		Intermediate	
aggravate	verb	加重、惡化		High-Intermediate	
aggregate	adj./noun/verb	總計(的)、合計(的)		High-Intermediate	L6
aggression	noun	侵略、挑釁		High-Intermediate	
aggressive	adj.	好鬥的、挑臖的；積極進取的		Intermediate	
aging	adj./noun	變老的；老化	= ageing	High-Intermediate	
agitate	verb	鼓動、煽動；激怒		High-Intermediate	
agitation	noun	焦慮不安、煩亂；煽動、鼓動		High-Intermediate	
ago	adv.	在…以前		Elementary	
agony	noun	極度痛苦、苦惱		High-Intermediate	
agree	verb	同意、贊成、相符		Elementary	
agreeable	adj.	令人愉悅的、宜人的；欣然同意的、願意接受的		Intermediate	
agreement	noun	協議、意見一致、同意		Intermediate	
agricultural	adj.	農業的		High-Intermediate	
agriculture	noun	農業		Intermediate	
ahead	adv.	在前面、領先、提早		Elementary	
AI	noun	人工智慧	= artificial intelligence	High-Intermediate	
aid	noun/verb	幫助、援助；救援物資、輔助設備		Elementary	L7
aide	noun	(從政者或軍隊高官的)助理、助手		High-Intermediate	
aim	verb/noun	計劃、瞄準；目標、瞄準		Elementary	
air	noun	空氣、空中		Elementary	
air conditioner	noun	冷氣機、空調		Elementary	
air-conditioned	adj.	有空調的		Intermediate	
aircraft	noun	飛機		Elementary	
airlift	noun/verb	空運、空投		High-Intermediate	
airline	noun	航空公司		Elementary	
airmail	noun	航空郵件		Intermediate	
airplane	noun	飛機	= plane, aeroplane (British English)	Elementary	
airport	noun	機場		Elementary	
airtight	adj.	密封的、不透氣的		High-Intermediate	
airway	noun	(肺的)氣道；飛行航線		High-Intermediate	
aisle	noun	走道		High-Intermediate	
alarm	noun	鬧鐘、鬧鈴裝置；警報、警報器		Elementary	
alarming	adj.	驚人的、令人驚慌的		High-Intermediate	
album	noun	相簿、集郵簿、音樂專輯		Elementary	
alcohol	noun	酒、酒精		Intermediate	
alcoholic	noun	酗酒者、酒精中毒者		Intermediate	
alcoholic	adj.	酒精的、含酒精的		Intermediate	
alert	verb	使警覺、使意識到		Intermediate	
alert	adj.	警覺的、機警的		Intermediate	
alert	noun	警報、戒備		Intermediate	
algebra	noun	代數		High-Intermediate	
alien	adj.	外國的、異域的、外星人的；陌生的、不熟悉的		High-Intermediate	
alien	noun	外國人、外星人(生物)		High-Intermediate	
alienate	verb	使疏遠、離間		High-Intermediate	
alike	adv./adj.	相似地、同樣地；相似的		Elementary	
alive	adj.	活著的、仍然存在的		Elementary	
all	adj./pron./adv.	全部(的/地)		Elementary	
allegation	noun	(未經證實的)指責、指控		High-Intermediate	
allege	verb	(未經證實地)指責、指控		High-Intermediate	
alleged	adj.	(證據不足的情況下)被指控的、涉嫌的		High-Intermediate	
allergic	adj.	過敏的、過敏引起的；對...十分反感的		High-Intermediate	
allergy	noun	過敏		High-Intermediate	
alleviate	verb	減輕、緩和		High-Intermediate	
alley	noun	小街、小巷		Intermediate	
alliance	noun	(國家)結盟、聯盟		High-Intermediate	
allied	adj.	結盟的、聯盟的；類似的、有關聯的		High-Intermediate	
alligator	noun	短吻鱷		High-Intermediate	
allocate	verb	分配、調撥		High-Intermediate	L6
allow	verb	准許		Elementary	
allowance	noun	零用錢；津貼、補助；限額、定量	零用錢 = pocket money	Intermediate	
alloy	noun/verb	合金；把...鑄成合金		High-Intermediate	
alloy	verb	把(價值)降低、損壞		High-Intermediate	
ally	noun/verb	同盟、盟友；與...結盟		High-Intermediate	
almond	noun	杏仁		High-Intermediate	
almost	adv.	幾乎、差不多		Elementary	
